city,estimated_market_value,geocoded_column,parcel_id,property_type,state,street_address,tax_year,zip_code
ST PAUL,251900,"{'type': 'Point', 'coordinates': [-93.177242, 44.966811]}",282923310101,Real Property,MN,901  FAIRVIEW AVE N,2020,55104
ST PAUL,6129000,"{'type': 'Point', 'coordinates': [-93.14918, 44.953712]}",342923410068,Real Property,MN,412 DUNLAP ST N,2020,55104
ST PAUL,129000,,322923310005,Real Property,MN,0  DESNOYER AVE,2020,55104
ST PAUL,149900,,352923210172,Real Property,MN,0  CHATSWORTH ST N,2020,55104
ST PAUL,75200,,352923320008,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,119000,,352923310115,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,778500,"{'type': 'Point', 'coordinates': [-93.094993, 44.951687]}",312922431545,Real Property,MN,530 ROBERT ST N,2020,55104
ST PAUL,85400,,342923340003,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,65500,,042823120160,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,2178300,,282923320015,Real Property,MN,0  PIERCE BUTLER RTE,2020,55104
ST PAUL,5100,,332923440069,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,188800,,332923240069,Real Property,MN,0  CHARLES AVE,2020,55104
ST PAUL,104900,,352923320010,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,39900,,332923310019,Real Property,MN,0  LYNNHURST AVE W,2020,55104
ST PAUL,400,,322923230029,Real Property,MN,0  CLIFFORD ST,2020,55104
ST PAUL,76700,,332923410127,Real Property,MN,0  PIERCE ST,2020,55104
ST PAUL,133300,,322923310025,Real Property,MN,0  DESNOYER AVE,2020,55104
ST PAUL,1821100,,272923340025,Real Property,MN,0  MINNEHAHA AVE W,2020,55104
ST PAUL,28800,,352923110231,Real Property,MN,0  BLAIR AVE,2020,55104
ST PAUL,225000,,042823220060,Real Property,MN,0  DAYTON AVE,2020,55104
ST PAUL,8952700,"{'type': 'Point', 'coordinates': [-93.163677, 44.95924]}",342923230227,Real Property,MN,1500 THOMAS AVE,2020,55104
ST PAUL,21200,,332923440113,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,90600,,332923320036,Real Property,MN,0  CLEVELAND AVE N,2020,55104
ST PAUL,702000,,272923320001,Real Property,MN,0  PIERCE BUTLER RTE,2020,55104
ST PAUL,264900,,332923130033,Real Property,MN,0  FAIRVIEW AVE N,2020,55104
ST PAUL,100,,342923320021,Real Property,MN,0  PASCAL ST N,2020,55104
ST PAUL,670400,,352923330160,Real Property,MN,0  CARROLL AVE,2020,55104
ST PAUL,119000,,352923310114,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,384600,,332923310113,Real Property,MN,FERONIA AVE,2020,55104
ST PAUL,35000,,272923340017,Real Property,MN,0  ALBERT ST N,2020,55104
ST PAUL,14300,,342923330136,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,600,,352923110237,Real Property,MN,0  THOMAS AVE,2020,55104
ST PAUL,129000,,322923310006,Real Property,MN,0  DESNOYER AVE,2020,55104
ST PAUL,63800,,352923410219,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,50200,,352923320021,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,60100,,282923420050,Real Property,MN,0  PIERCE BUTLER RTE,2020,55104
ST PAUL,22300,,342923310024,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,2504000,,352923230210,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,1874900,"{'type': 'Point', 'coordinates': [-93.166908, 44.94962]}",342923330146,Real Property,MN,280  N SNELLING AVE,2020,55104
ST PAUL,100,,352923440171,Real Property,MN,0  CONCORDIA AVE,2020,55104
ST PAUL,50000,,322923230031,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,1916100,,362923230281,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,271000,"{'type': 'Point', 'coordinates': [-93.196706, 44.956444]}",322923130007,Real Property,MN,2329  PILLSBURY ST,2020,55104
ST PAUL,227100,,322923310022,Real Property,MN,0  PELHAM BLVD,2020,55104
ST PAUL,103600,,342923420016,Real Property,MN,0  SYNDICATE ST N,2020,55104
ST PAUL,84000,,332923140073,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,561200,,342923410050,Real Property,MN,0  GRIGGS ST N,2020,55104
ST PAUL,519700,"{'type': 'Point', 'coordinates': [-93.127852, 44.956622]}",352923140252,Real Property,MN,652 SHERBURNE AVE,2020,55104
ST PAUL,245400,"{'type': 'Point', 'coordinates': [-93.163099, 44.94849]}",342923330151,Real Property,MN,1489 MARSHALL AVE,2020,55104
ST PAUL,96300,,342923420005,Real Property,MN,0  GRIGGS ST N,2020,55104
ST PAUL,138400,,322923320010,Real Property,MN,0  DESNOYER AVE,2020,55104
ST PAUL,61000,,332923410124,Real Property,MN,0  ROY ST N,2020,55104
ST PAUL,244900,"{'type': 'Point', 'coordinates': [-93.181095, 44.967119]}",282923310109,Real Property,MN,861  HOWELL ST N,2020,55104
ST PAUL,18200,,272923340040,Real Property,MN,0  HUBBARD AVE,2020,55104
ST PAUL,65400,,352923430051,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,39200,,352923210178,Real Property,MN,0  LAFOND AVE,2020,55104
ST PAUL,3331800,,352923230209,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,36500,,332923240055,Real Property,MN,PRIOR AVE N,2020,55104
ST PAUL,1500,,272923430234,Real Property,MN,0  HEWITT AVE,2020,55104
ST PAUL,20500,"{'type': 'Point', 'coordinates': [-93.037882, 44.966714]}",272922340148,Real Property,MN,1480 7TH ST E,2020,55104
ST PAUL,119000,,352923310116,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,8472000,"{'type': 'Point', 'coordinates': [-93.139704, 44.951261]}",352923340171,Real Property,MN,932 CONCORDIA AVE,2020,55104
ST PAUL,76500,,342923240213,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,134400,,352923320009,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,210900,,342923340015,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,4047700,"{'type': 'Point', 'coordinates': [-93.162725, 44.964092]}",272923330081,Real Property,MN,1470 ENGLEWOOD AVE,2020,55104
ST PAUL,400000,"{'type': 'Point', 'coordinates': [-93.135507, 44.949448]}",352923430150,Real Property,MN,837 IGLEHART AVE,2020,55104
ST PAUL,472400,,332923240024,Real Property,MN,0  FAIRVIEW AVE N,2020,55104
ST PAUL,1700,,342923330051,Real Property,MN,0  CARROLL AVE,2020,55104
ST PAUL,1643000,,342923320017,Real Property,MN,0  PASCAL ST N,2020,55104
ST PAUL,18200,,342923340008,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,733900,"{'type': 'Point', 'coordinates': [-93.172761, 44.949345]}",332923430018,Real Property,MN,1717  IGLEHART AVE,2020,55104
ST PAUL,119000,,332923140070,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,210800,,332923240039,Real Property,MN,0  OAKLEY AVE,2020,55104
ST PAUL,116800,,342923140213,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,318800,,332923240072,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,465100,"{'type': 'Point', 'coordinates': [-93.139114, 44.964298]}",262923340159,Real Property,MN,767 MILTON ST N,2020,55104
ST PAUL,116800,,342923140214,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,500,,282923410003,Real Property,MN,SNELLING AVE N,2020,55104
ST PAUL,50000,,322923230032,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,234600,,342923130204,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,52000,,262923440003,Real Property,MN,0  DALE ST N,2020,55104
ST PAUL,3200,,352923440134,Real Property,MN,0  GROTTO ST N,2020,55104
ST PAUL,984000,,352923330152,Real Property,MN,0  CONCORDIA AVE,2020,55104
ST PAUL,2800,,322923310015,Real Property,MN,0  PELHAM BLVD,2020,55104
ST PAUL,17100,,332923440073,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,1391700,,352923440135,Real Property,MN,0  ST ALBANS ST N,2020,55104
ST PAUL,115200,,322923310023,Real Property,MN,0  BEVERLY RD,2020,55104
ST PAUL,95400,,322923230080,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,652800,,352923210181,Real Property,MN,0  VICTORIA ST N,2020,55104
ST PAUL,1173300,,282923320020,Real Property,MN,PRIOR AVE N,2020,55104
ST PAUL,2100,,352923440066,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,479200,,352923410218,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,19800,,342923340010,Real Property,MN,0  CONCORDIA AVE,2020,55104
ST PAUL,743800,,332923240071,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,25000,,352923410068,Real Property,MN,0  FULLER AVE,2020,55104
ST PAUL,71500,,322923230037,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,151800,,342923310029,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,530100,,272923420084,Real Property,MN,0  SYNDICATE ST N,2020,55104
ST PAUL,207100,,332923240075,Real Property,MN,0  CHARLES AVE,2020,55104
ST PAUL,36000,,342923340029,Real Property,MN,0  CARROLL AVE,2020,55104
ST PAUL,1858300,,262923440018,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,162000,,332923420015,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,40000,,282923410023,Real Property,MN,0  TAYLOR AVE,2020,55104
ST PAUL,119000,,352923310004,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,38700,,282923410028,Real Property,MN,0  CHARLOTTE ST,2020,55104
ST PAUL,261000,,342923420021,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,1200,,342923130203,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,84000,,332923140072,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,2973200,"{'type': 'Point', 'coordinates': [-93.177219, 44.967661]}",282923420051,Real Property,MN,920  FAIRVIEW AVE N,2020,55104
ST PAUL,104900,,352923320012,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,207000,,322923230030,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,2200,,332923320005,Real Property,MN,0  GILBERT AVE,2020,55104
ST PAUL,1803500,,342923320018,Real Property,MN,0  PASCAL ST N,2020,55104
ST PAUL,2785000,"{'type': 'Point', 'coordinates': [-93.168129, 44.954802]}",332923410123,Real Property,MN,1607  SPRUCE TREE AVE,2020,55104
ST PAUL,679200,,332923420171,Real Property,MN,0  ALDINE ST,2020,55104
ST PAUL,9800,,352923330076,Real Property,MN,0  OXFORD ST N,2020,55104
ST PAUL,16100,,362923230282,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,2400,,352923340166,Real Property,MN,0  IGLEHART AVE,2020,55104
